20-10-4 18:55:45.2|Info|MigrationLogger|*** 92: add_unverifiedscenenumbering migrating ***
20-10-4 18:55:45.2|Info|add_unverifiedscenenumbering|Starting migration to 92
20-10-4 18:55:45.2|Info|MigrationLogger|*** 93: naming_config_replace_illegal_characters migrating ***
20-10-4 18:55:45.2|Info|naming_config_replace_illegal_characters|Starting migration to 93
20-10-4 18:55:45.2|Info|MigrationLogger|*** 94: add_tvmazeid migrating ***
20-10-4 18:55:45.2|Info|add_tvmazeid|Starting migration to 94
20-10-4 18:55:45.2|Info|MigrationLogger|*** 95: add_additional_episodes_index migrating ***
20-10-4 18:55:45.2|Info|add_additional_episodes_index|Starting migration to 95
20-10-4 18:55:45.2|Info|MigrationLogger|*** 96: disable_kickass migrating ***
20-10-4 18:55:45.2|Info|disable_kickass|Starting migration to 96
20-10-4 18:55:45.2|Info|MigrationLogger|*** 97: add_reason_to_pending_releases migrating ***
20-10-4 18:55:45.2|Info|add_reason_to_pending_releases|Starting migration to 97
20-10-4 18:55:45.3|Info|MigrationLogger|*** 98: remove_titans_of_tv migrating ***
20-10-4 18:55:45.3|Info|remove_titans_of_tv|Starting migration to 98
20-10-4 18:55:45.3|Info|MigrationLogger|*** 99: extra_and_subtitle_files migrating ***
20-10-4 18:55:45.3|Info|extra_and_subtitle_files|Starting migration to 99
20-10-4 18:55:45.3|Info|MigrationLogger|*** 100: add_scene_season_number migrating ***
20-10-4 18:55:45.3|Info|add_scene_season_number|Starting migration to 100
20-10-4 18:55:45.3|Info|MigrationLogger|*** 101: add_ultrahd_quality_in_profiles migrating ***
20-10-4 18:55:45.3|Info|add_ultrahd_quality_in_profiles|Starting migration to 101
20-10-4 18:55:45.3|Info|MigrationLogger|*** 103: fix_metadata_file_extensions migrating ***
20-10-4 18:55:45.3|Info|fix_metadata_file_extensions|Starting migration to 103
20-10-4 18:55:45.3|Info|MigrationLogger|*** 104: remove_kickass migrating ***
20-10-4 18:55:45.3|Info|remove_kickass|Starting migration to 104
20-10-4 18:55:45.3|Info|MigrationLogger|*** 105: rename_torrent_downloadstation migrating ***
20-10-4 18:55:45.3|Info|rename_torrent_downloadstation|Starting migration to 105
20-10-4 18:55:45.3|Info|MigrationLogger|*** 106: update_btn_url migrating ***
